Sequence number	Sequence ID	V-DOMAIN Functionality	V-GENE and allele	V-REGION Nb of positions including IMGT gaps (nt)	V-REGION Nb of nucleotides	V-REGION Nb of identical nucleotides	V-REGION Nb of mutations	V-REGION Nb of silent mutations	V-REGION Nb of nonsilent mutations	V-REGION a>g	V-REGION g>a	V-REGION c>t	V-REGION t>c	V-REGION a>c	V-REGION c>a	V-REGION a>t	V-REGION t>a	V-REGION g>c	V-REGION c>g	V-REGION g>t	V-REGION t>g	FR1-IMGT Nb of positions including IMGT gaps (nt)	FR1-IMGT Nb of nucleotides	FR1-IMGT Nb of identical nucleotides	FR1-IMGT Nb of mutations	FR1-IMGT Nb of silent mutations	FR1-IMGT Nb of nonsilent mutations	FR1-IMGT a>g	FR1-IMGT g>a	FR1-IMGT c>t	FR1-IMGT t>c	FR1-IMGT a>c	FR1-IMGT c>a	FR1-IMGT a>t	FR1-IMGT t>a	FR1-IMGT g>c	FR1-IMGT c>g	FR1-IMGT g>t	FR1-IMGT t>g	CDR1-IMGT Nb of positions including IMGT gaps (nt)	CDR1-IMGT Nb of nucleotides	CDR1-IMGT Nb of identical nucleotides	CDR1-IMGT Nb of mutations	CDR1-IMGT Nb of silent mutations	CDR1-IMGT Nb of nonsilent mutations	CDR1-IMGT a>g	CDR1-IMGT g>a	CDR1-IMGT c>t	CDR1-IMGT t>c	CDR1-IMGT a>c	CDR1-IMGT c>a	CDR1-IMGT a>t	CDR1-IMGT t>a	CDR1-IMGT g>c	CDR1-IMGT c>g	CDR1-IMGT g>t	CDR1-IMGT t>g	FR2-IMGT Nb of positions including IMGT gaps (nt)	FR2-IMGT Nb of nucleotides	FR2-IMGT Nb of identical nucleotides	FR2-IMGT Nb of mutations	FR2-IMGT Nb of silent mutations	FR2-IMGT Nb of nonsilent mutations	FR2-IMGT a>g	FR2-IMGT g>a	FR2-IMGT c>t	FR2-IMGT t>c	FR2-IMGT a>c	FR2-IMGT c>a	FR2-IMGT a>t	FR2-IMGT t>a	FR2-IMGT g>c	FR2-IMGT c>g	FR2-IMGT g>t	FR2-IMGT t>g	CDR2-IMGT Nb of positions including IMGT gaps (nt)	CDR2-IMGT Nb of nucleotides	CDR2-IMGT Nb of identical nucleotides	CDR2-IMGT Nb of mutations	CDR2-IMGT Nb of silent mutations	CDR2-IMGT Nb of nonsilent mutations	CDR2-IMGT a>g	CDR2-IMGT g>a	CDR2-IMGT c>t	CDR2-IMGT t>c	CDR2-IMGT a>c	CDR2-IMGT c>a	CDR2-IMGT a>t	CDR2-IMGT t>a	CDR2-IMGT g>c	CDR2-IMGT c>g	CDR2-IMGT g>t	CDR2-IMGT t>g	FR3-IMGT Nb of positions including IMGT gaps (nt)	FR3-IMGT Nb of nucleotides	FR3-IMGT Nb of identical nucleotides	FR3-IMGT Nb of mutations	FR3-IMGT Nb of silent mutations	FR3-IMGT Nb of nonsilent mutations	FR3-IMGT a>g	FR3-IMGT g>a	FR3-IMGT c>t	FR3-IMGT t>c	FR3-IMGT a>c	FR3-IMGT c>a	FR3-IMGT a>t	FR3-IMGT t>a	FR3-IMGT g>c	FR3-IMGT c>g	FR3-IMGT g>t	FR3-IMGT t>g	CDR3-IMGT Nb of positions including IMGT gaps (nt)	CDR3-IMGT Nb of nucleotides	CDR3-IMGT Nb of identical nucleotides	CDR3-IMGT Nb of mutations	CDR3-IMGT Nb of silent mutations	CDR3-IMGT Nb of nonsilent mutations	CDR3-IMGT a>g	CDR3-IMGT g>a	CDR3-IMGT c>t	CDR3-IMGT t>c	CDR3-IMGT a>c	CDR3-IMGT c>a	CDR3-IMGT a>t	CDR3-IMGT t>a	CDR3-IMGT g>c	CDR3-IMGT c>g	CDR3-IMGT g>t	CDR3-IMGT t>g	
1	QPO15992.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV4-31*08 F	311	290	217	73	50	23	4	4	0	17	5	1	2	11	9	18	2	0	78	75	58	17	17	0	0	0	0	3	3	0	0	4	1	6	0	0	36	30	19	11	4	7	0	4	0	4	0	0	0	1	0	1	1	0	51	51	44	7	6	1	0	0	0	1	1	1	1	0	2	1	0	0	30	21	14	7	2	5	2	0	0	2	0	0	0	1	1	1	0	0	116	113	82	31	21	10	2	0	0	7	1	0	1	5	5	9	1	0																			
2	QPO15991.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV4-4*08 F, or Homsap IGHV4-4*09 (F) or Homsap IGHV4-59*08 F or Homsap IGHV4-59*11 F or Homsap IGHV4-59*12 (F)	317 (320)	290 (293)	213 (214)	77 (79)	50 (52)	27	5 (6)	3	1	14	9	4	1 (2)	11	9	19	0	1	78	75	57	18	17	1	0	0	0	3	2	0	0	4	2	7	0	0	36	24	17	7	5	2	0	1	0	4	0	0	0	1	0	1	0	0	51	51	43	8	7	1	0	0	0	2	2	2	0	0	2	0	0	0	30	21	12	9	1	8	1	0	0	2	1	1	0	1	2	1	0	0	117	114	80	34	19	15	4	2	1	3	4	1	1	5	2	10	0	1	5 (8)	5 (8)	4 (5)	1 (3)	1 (3)	0	0 (1)	0	0	0	0	0	0 (1)	0	1	0	0	0	
3	QPO15990.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV3-15*01 F	317 (320)	299 (302)	223 (224)	76 (78)	58 (60)	18	13 (14)	2	3	17	10 (11)	2	0	7	7	11	0	4	78	75	52	23	21	2	2	1	0	5	2	0	0	4	3	5	0	1	36	24	20	4	2	2	0	0	0	2	1	0	0	0	1	0	0	0	51	51	41	10	10	0	0	0	0	1	1	2	0	0	2	2	0	2	30	30	18	12	6	6	4	1	1	3	1	0	0	0	1	0	0	1	117	114	87	27	19	8	7	0	2	6	5	0	0	3	0	4	0	0	5 (8)	5 (8)	5 (6)	0 (2)	0 (2)	0	0 (1)	0	0	0	0 (1)	0	0	0	0	0	0	0	
4	QPO15989.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV3-33*08 F	320	293	225	68	51	17	10	2	1	17	7	2	1	7	9	10	0	2	78	72	53	19	19	0	1	0	0	4	2	0	0	4	2	6	0	0	36	24	19	5	2	3	1	0	0	2	1	0	0	0	1	0	0	0	51	51	40	11	7	4	0	1	0	2	2	1	1	0	2	2	0	0	30	24	14	10	5	5	3	0	0	3	1	0	0	1	1	0	0	1	117	114	93	21	16	5	4	1	1	6	1	1	0	2	2	2	0	1	8	8	6	2	2	0	1	0	0	0	0	0	0	0	1	0	0	0	
5	QPO15988.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV4-4*08 F, or Homsap IGHV4-4*09 (F) or Homsap IGHV4-59*08 F or Homsap IGHV4-59*12 (F)	317 (320)	290 (293)	222 (223)	68 (70)	54 (56)	14	4 (5)	1	0	14	9	3	0 (1)	11	10	16	0	0	78	75	58	17	17	0	0	0	0	3	2	0	0	4	2	6	0	0	36	24	18	6	4	2	0	0	0	3	0	0	0	1	1	1	0	0	51	51	43	8	7	1	0	1	0	2	2	1	0	0	2	0	0	0	30	21	12	9	2	7	2	0	0	2	1	1	0	1	1	1	0	0	117	114	87	27	23	4	2	0	0	4	4	1	0	5	3	8	0	0	5 (8)	5 (8)	4 (5)	1 (3)	1 (3)	0	0 (1)	0	0	0	0	0	0 (1)	0	1	0	0	0	
6	QPO15987.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV4-4*08 F, or Homsap IGHV4-4*09 (F) or Homsap IGHV4-59*08 F or Homsap IGHV4-59*12 (F)	317 (320)	290 (293)	223 (224)	67 (69)	54 (56)	13	4 (5)	0	0	14	9	3	0 (1)	11	10	16	0	0	78	75	58	17	17	0	0	0	0	3	2	0	0	4	2	6	0	0	36	24	18	6	4	2	0	0	0	3	0	0	0	1	1	1	0	0	51	51	44	7	7	0	0	0	0	2	2	1	0	0	2	0	0	0	30	21	12	9	2	7	2	0	0	2	1	1	0	1	1	1	0	0	117	114	87	27	23	4	2	0	0	4	4	1	0	5	3	8	0	0	5 (8)	5 (8)	4 (5)	1 (3)	1 (3)	0	0 (1)	0	0	0	0	0	0 (1)	0	1	0	0	0	
7	QPO15986.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV4-38-2*02 F	314 (320)	287 (293)	209 (210)	78 (83)	49 (51)	29 (32)	8 (9)	2	1	15	6 (7)	4	1	9	14 (16)	15	0 (1)	3	78	75	55	20	16	4	1	1	0	3	1	0	1	4	3	6	0	0	36	24	16	8	1	7	0	1	0	4	1	0	0	0	1	0	0	1	51	51	41	10	6	4	1	0	0	1	1	2	0	0	3	1	0	1	30	21	15	6	4	2	1	0	0	3	0	0	0	0	2	0	0	0	117	114	80	34	22	12	5	0	1	4	3	2	0	5	5	8	0	1	2 (8)	2 (8)	2 (3)	0 (5)	0 (2)	0 (3)	0 (1)	0	0	0	0 (1)	0	0	0	0 (2)	0	0 (1)	0	
8	QPO15985.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV4-30-4*08 (F)	317 (319)	296 (298)	229 (230)	67 (68)	57 (58)	10	2 (3)	1	0	16	9	2	2	11	8	15	0	1	78	75	58	17	17	0	0	0	0	3	3	0	0	4	1	6	0	0	36	30	22	8	6	2	0	0	0	4	0	0	1	2	0	1	0	0	51	51	43	8	6	2	0	0	0	1	2	1	0	0	2	2	0	0	30	21	17	4	3	1	0	1	0	2	0	0	0	0	1	0	0	0	117	114	84	30	25	5	2	0	0	6	4	1	1	5	4	6	0	1	5 (7)	5 (7)	5 (6)	0 (1)	0 (1)	0	0 (1)	0	0	0	0	0	0	0	0	0	0	0	
9	QPO15984.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV4-31*08 F	311	290	228	62	52	10	5	1	0	14	6	2	1	9	8	13	0	3	78	75	58	17	16	1	0	1	0	3	3	0	0	4	1	5	0	0	36	30	25	5	4	1	0	0	0	4	0	0	0	0	0	0	0	1	51	51	44	7	5	2	1	0	0	0	1	1	0	0	2	1	0	1	30	21	15	6	3	3	1	0	0	3	0	0	0	0	1	1	0	0	116	113	86	27	24	3	3	0	0	4	2	1	1	5	4	6	0	1																			
10	QPO15983.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV3-9*01 F	320 (322)	296 (298)	211 (212)	85 (86)	56 (57)	29	12	7	1	24 (25)	6	2	1	9	7	13	0	3	78	75	53	22	19	3	3	1	0	5	2	0	0	4	1	6	0	0	36	24	16	8	1	7	0	1	0	4	1	0	0	0	0	0	0	2	51	51	38	13	11	2	1	0	0	3	2	1	0	1	2	3	0	0	30	24	13	11	4	7	1	2	0	5	0	0	0	1	2	0	0	0	117	114	85	29	19	10	6	3	1	7	0	1	1	3	2	4	0	1	8 (10)	8 (10)	6 (7)	2 (3)	2 (3)	0	1	0	0	0 (1)	1	0	0	0	0	0	0	0	
11	QPO15982.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV4-61*02 F, or Homsap IGHV4-61*11 (F)	320	299	226	73	53	20	7	3	0	14	7	3	0	10	12	15	0	2	78	75	59	16	14	2	0	0	0	3	3	0	0	3	1	5	0	1	36	30	18	12	5	7	2	1	0	4	0	0	0	2	1	2	0	0	51	51	43	8	7	1	0	1	0	1	1	2	0	0	2	0	0	1	30	21	14	7	2	5	1	0	0	2	0	0	0	0	3	1	0	0	117	114	86	28	23	5	3	1	0	4	3	1	0	5	4	7	0	0	8	8	6	2	2	0	1	0	0	0	0	0	0	0	1	0	0	0	
12	QPO15981.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV3-9*01 F	320 (322)	293 (295)	219 (220)	74 (75)	60 (61)	14	11	1	0	24 (25)	7	3	1	9	5	11	2	0	78	72	52	20	18	2	3	0	0	5	1	1	0	4	1	5	0	0	36	24	18	6	4	2	0	0	0	4	1	0	0	1	0	0	0	0	51	51	40	11	11	0	1	0	0	2	2	1	0	1	1	3	0	0	30	24	14	10	4	6	1	1	0	5	2	0	0	0	0	0	1	0	117	114	89	25	21	4	5	0	0	8	0	1	1	3	3	3	1	0	8 (10)	8 (10)	6 (7)	2 (3)	2 (3)	0	1	0	0	0 (1)	1	0	0	0	0	0	0	0	
13	QPO15980.1_immunoglobulin_heavy_chain_variable_re	productive	Homsap IGHV3-23*01 F, or Homsap IGHV3-23*04 F or Homsap IGHV3-23D*01 F	320	296	218	78	59	19	7	4	1	20	10	2	1	8	10	14	1	0	78	75	52	23	21	2	2	0	0	6	2	0	0	4	3	6	0	0	36	24	18	6	3	3	0	1	1	2	1	0	0	0	0	1	0	0	51	51	35	16	12	4	0	1	0	2	4	1	0	1	3	4	0	0	30	24	14	10	5	5	0	1	0	6	1	0	0	0	1	0	1	0	117	114	93	21	16	5	4	1	0	4	2	1	1	3	2	3	0	0	8	8	6	2	2	0	1	0	0	0	0	0	0	0	1	0	0	0	
